status,total_num_contacts_interacted_with,num_#_sms,total_interactions,ave_age,duration(s),num_contacts,ratio_of_bad_words_used,num_*_sms,ave_message_body_length,max_age,ave_daily_sms,user_id,calls,num_#_calls,num_bad_words_used,num_*_calls,ave_duration(s),ave_daily_duration(s),num_derogatory_sms,ave_daily_sms_count,ave_daily_contacts_interacted_with,ave_daily_calls
defaulted,212,0,5559,,39562,173,0.00042675356921166975,0,31.697059445737253,,53.72727272727273,292,831,0,11,4,47.607701564380264,706.4642857142857,11,53.71590909090909,8.613636363636363,14.839285714285714
repaid,133,0,1197,,36316,91,0.0006568144499178982,0,80.70869565217392,,1.7829457364341086,293,967,0,2,0,37.55532574974147,283.71875,2,6.9393939393939394,4.4186046511627906,7.5546875
repaid,312,0,2981,,55984,320,8.027614995584812e-05,0,132.62602291325695,,6.53475935828877,290,1759,0,2,0,31.827174530983513,674.5060240963855,2,6.635869565217392,7.096256684491979,21.19277108433735
repaid,102,0,705,,8276,132,0.0002785515320334262,0,109.55147058823529,,6.0,291,297,0,2,0,27.865319865319865,145.19298245614036,2,6.151515151515151,5.426470588235294,5.2105263157894735
defaulted,88,0,619,,15038,286,0.0,0,36.44444444444444,,4.714285714285714,199,520,0,0,0,28.91923076923077,751.9,0,12.25,9.380952380952381,26.0
defaulted,66,0,277,,9530,1415,0.0,0,89.05555555555556,,9.818181818181818,198,169,0,0,0,56.3905325443787,866.3636363636364,0,9.727272727272727,11.0,15.363636363636363
defaulted,50,0,1956,,1870,32,0.0002457908320019663,0,23.75642398286938,,116.8125,195,87,0,2,0,21.49425287356322,170.0,2,116.75,10.1875,7.909090909090909
repaid,266,0,2507,,33628,559,0.00010034451617219118,0,98.2232187344295,,17.761061946902654,194,500,0,3,0,67.256,1769.8947368421052,3,17.910714285714285,7.539823008849558,26.31578947368421
defaulted,174,0,1502,,9079,771,0.0011514104778353484,0,28.421796165489404,,15.015151515151516,197,511,1,6,4,17.767123287671232,144.11111111111111,6,20.20408163265306,6.712121212121212,8.11111111111111
defaulted,129,0,568,,7888,249,0.0,0,14.073770491803279,,3.210526315789474,196,446,0,0,1,17.68609865470852,207.57894736842104,0,60.5,7.342105263157895,11.736842105263158
repaid,345,0,3910,,67008,227,0.00013577732518669383,0,61.38740157480315,,9.9296875,191,2639,0,2,1,25.39143615005684,827.2592592592592,2,10.40983606557377,12.40625,32.58024691358025
defaulted,355,0,4773,,40697,277,0.0,0,101.2987012987013,,21.147058823529413,190,2616,0,0,0,15.556957186544343,598.4852941176471,0,21.56,14.009803921568627,38.470588235294116
repaid,366,0,5788,,70646,450,5.784191803800214e-05,0,94.99803450535052,,16.327402135231317,193,1200,13,4,18,58.87166666666667,327.06481481481484,4,18.274900398406373,6.679715302491103,5.555555555555555
repaid,378,0,8529,,145638,347,0.00011342851876533058,0,85.26405680291691,,25.0625,192,3316,0,8,0,43.91978287092883,703.5652173913044,8,25.17874396135266,11.701923076923077,16.019323671497585
defaulted,171,0,1168,,26018,502,0.0,0,104.98009950248756,,4.785714285714286,270,967,1,0,0,26.905894519131333,619.4761904761905,0,6.896551724137931,10.880952380952381,23.023809523809526
defaulted,98,0,584,,20390,293,0.0,0,78.57894736842105,,0.7307692307692307,271,565,0,0,2,36.08849557522124,784.2307692307693,0,3.6,9.73076923076923,21.73076923076923
repaid,580,0,10259,,35985,808,0.00012897282358360202,0,39.86744157289477,,50.298136645962735,272,2161,1,7,2,16.65201295696437,227.75316455696202,7,70.4,14.211180124223603,13.677215189873417
repaid,490,1,16865,,146764,666,0.0003896157158676127,1,40.89269592244505,,69.31282051282051,273,3349,2,38,11,43.823230815168706,838.6514285714286,38,69.65979381443299,15.266666666666667,19.13714285714286
defaulted,251,0,4014,,26822,283,0.0,0,64.30462452269835,,9.080769230769231,274,1653,0,0,0,16.226255293405927,367.4246575342466,0,9.477911646586346,4.469230769230769,22.643835616438356
defaulted,294,0,5532,,144556,254,0.0006225099601593625,0,54.333957720096336,,11.222222222222221,275,1795,0,20,1,80.53259052924791,876.0969696969697,20,11.495384615384616,4.657657657657658,10.878787878787879
repaid,234,0,5486,,145095,841,8.107669855683477e-05,0,128.56454388984508,,4.048780487804878,276,4324,0,2,7,33.55573543015726,704.3446601941747,2,4.172661870503597,6.609756097560975,20.990291262135923
defaulted,135,0,1166,,24021,204,0.0,0,59.55666003976143,,9.862745098039216,277,663,0,0,0,36.23076923076923,889.6666666666666,0,10.244897959183673,8.764705882352942,24.555555555555557
defaulted,25,0,48,,309,198,0.0,0,100.45454545454545,,2.4444444444444446,278,26,0,0,0,11.884615384615385,44.142857142857146,0,2.625,3.4444444444444446,3.7142857142857144
repaid,184,0,3548,,24048,325,0.0,0,97.45764192139738,,10.25,279,1252,1,0,3,19.207667731629392,138.20689655172413,0,11.532663316582914,5.321428571428571,7.195402298850575
repaid,299,0,6081,,43866,284,0.0006372236655065928,0,50.79991740656618,,23.444444444444443,108,1228,0,26,3,35.72149837133551,617.830985915493,26,23.553398058252426,7.555555555555555,17.295774647887324
repaid,456,0,7837,,240972,705,0.0,0,143.27185628742515,,6.0071942446043165,109,7002,0,0,0,34.414738646101114,4084.271186440678,0,6.223880597014926,15.410071942446043,118.67796610169492
repaid,238,0,2771,,58284,179,0.0005391416864351952,0,32.196303377947736,,11.80451127819549,102,1201,0,5,3,48.52955870108243,455.34375,5,16.51578947368421,6.06015037593985,9.3828125
defaulted,88,0,692,,17263,58,0.0,0,86.28888888888889,,1.2162162162162162,103,647,0,0,4,26.68160741885626,493.22857142857146,0,4.0,7.378378378378378,18.485714285714284
repaid,559,0,4654,,112342,1061,0.00030350855894136213,0,133.24779874213837,,2.912087912087912,100,3859,0,5,1,29.111686965535114,634.7005649717514,5,3.799043062200957,8.168498168498168,21.80225988700565
repaid,245,0,3151,,42479,3125,0.00026722248944471166,0,52.895403377110696,,16.43076923076923,101,1015,0,5,1,41.851231527093596,685.1451612903226,5,16.415384615384614,7.561538461538461,16.370967741935484
repaid,237,0,1113,,18527,675,0.000513347022587269,0,30.75541795665635,,7.340909090909091,106,790,0,1,0,23.451898734177217,487.55263157894734,1,10.733333333333333,12.204545454545455,20.789473684210527
repaid,563,0,11933,,205051,470,0.00017763341538305378,0,79.43468834688346,,11.848523748395378,107,2703,0,21,0,75.86052534221236,1297.7911392405063,21,11.862467866323907,5.169448010269576,17.10759493670886
defaulted,193,0,1138,,15869,229,0.0011886568177958906,0,80.31151241534988,,8.86,104,695,0,7,3,22.833093525179855,317.38,5,16.37037037037037,8.04,13.9
repaid,280,0,6913,,118419,397,0.00019147001100952563,0,47.622549019607845,,28.521505376344088,105,1608,0,8,0,73.64365671641791,647.0983606557377,8,41.4375,8.89247311827957,8.78688524590164
repaid,214,0,1357,,48199,896,0.00014037057832678272,0,125.3932584269663,,5.758064516129032,39,1000,0,1,0,48.199,2295.190476190476,1,5.836065573770492,9.225806451612904,47.61904761904762
repaid,322,0,5793,,214210,129,0.0005003371837542692,0,96.106608478803,,33.76842105263158,38,2585,0,23,1,82.86653771760155,2254.842105263158,23,38.63855421686747,14.326315789473684,27.210526315789473
repaid,682,0,5837,,93907,1137,0.00020279862096937742,0,76.53461538461538,,31.45054945054945,33,2975,0,7,0,31.565378151260504,1591.6440677966102,7,31.439560439560438,22.945054945054945,50.42372881355932
defaulted,62,0,192,,9105,271,0.0,0,92.18181818181819,,1.1,32,170,0,0,1,53.55882352941177,607.0,0,2.3333333333333335,5.3,11.333333333333334
repaid,342,0,7598,,64272,168,0.00014977907586310194,0,115.73351648351648,,18.6,31,3227,1,12,6,19.916950728230553,359.06145251396646,12,19.0,9.582978723404254,18.027932960893853
